# 软件所 提交列表（纯文本视图）
# 共 329 个提交
# 生成时间: 2026-09-22 16:21:13
#
# 格式: 提交哈希 | 日期 | 原始作者 | 标题
------------------------------------------------------------------------------------------------------------------------
3a25db3c | 2024-01-18 | Sunil V L | cpuidle: RISC-V: Move few functions to arch/riscv
9c8068c7 | 2024-02-27 | Samuel Holland | riscv: Save/restore envcfg CSR during CPU suspend
27d6c4cd | 2024-07-17 | Alexandre Ghiti | riscv: Add ISA extension parsing for Svvptc
d20f6f37 | 2024-07-18 | Samuel Holland | riscv: cpufeature: Do not drop Linux-internal extensions
4c82bada | 2024-07-19 | Charlie Jenkins | riscv: Extend cpufeature.c to detect vendor extensions
676e2fcd | 2024-04-26 | Andrew Jones | riscv: Provide a definition for 'pause'
fff6cc13 | 2024-04-26 | Christoph Müllner | riscv: Add Zawrs support for spinlocks
eb36ac03 | 2024-05-30 | Alexandre Ghiti | riscv: Fix fully ordered LR/SC xchg[8|16]() implementations
79b40989 | 2024-03-25 | Jisheng Zhang | riscv: cmpxchg: implement arch_cmpxchg64_{relaxed|acquire|release}
4fb3cd3f | 2024-01-03 | Leonardo Bras | riscv/cmpxchg: Implement xchg for variables of size 1 and 2
27f23b24 | 2024-01-03 | Leonardo Bras | riscv/cmpxchg: Implement cmpxchg for variables of size 1 and 2
37764ae6 | 2024-01-03 | Leonardo Bras | riscv/cmpxchg: Deduplicate cmpxchg() asm and macros
33594343 | 2024-01-03 | Leonardo Bras | riscv/cmpxchg: Deduplicate xchg() asm functions
7feeb956 | 2024-02-17 | Eric Chan | riscv/barrier: Consolidate fence definitions
fd0d2ef4 | 2024-02-17 | Eric Chan | riscv/barrier: Define RISCV_FULL_BARRIER
fc72c792 | 2024-06-19 | Clément Léger | riscv: add ISA extension parsing for Zcmop
d00b98b1 | 2024-06-19 | Clément Léger | riscv: add ISA parsing for Zca, Zcf, Zcd and Zcb
0a8fffc6 | 2024-06-19 | Clément Léger | riscv: add ISA extensions validation callback
e9c59bd6 | 2024-06-19 | Clément Léger | riscv: add ISA extension parsing for Zimop
f7aba4ac | 2024-05-10 | Andy Chiu | riscv: vector: adjust minimum Vector requirement to ZVE32X
efb84810 | 2024-05-10 | Andy Chiu | riscv: cpufeature: add zve32[xf] and zve64[xfd] isa detection
f00270da | 2024-02-22 | Yu Chien Peter Lin | perf: RISC-V: Introduce Andes PMU to support perf event sampling
f2316ce5 | 2024-02-22 | Yu Chien Peter Lin | perf: RISC-V: Eliminate redundant interrupt enable/disable operations
c02868c2 | 2024-05-10 | Andy Chiu | riscv: cpufeature: call match_isa_ext() for single-letter extensions
3c3eeed5 | 2024-05-10 | Andy Chiu | riscv: vector: add a comment when calling riscv_setup_vsize()
9d64a94f | 2024-05-02 | Charlie Jenkins | riscv: cpufeature: Fix extension subset checking
e7dd8b45 | 2024-02-27 | Samuel Holland | riscv: Add a custom ISA extension for the [ms]envcfg CSR
8ebaecea | 2023-12-20 | Clément Léger | riscv: add ISA extension parsing for Zacas
218deeae | 2023-12-20 | Clément Léger | riscv: add ISA extension parsing for Ztso
615ce32c | 2023-11-10 | Palmer Dabbelt | RISC-V: Remove the removed single-letter extensions
171c4076 | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for Zfa
e02f9534 | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for Zvfh[min]
1c14f7fc | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for Zihintntl
0f29959b | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for Zfh/Zfh[min]
98a48e0e | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for vector crypto
e2cb3cde | 2023-11-14 | Evan Green | riscv: add ISA extension parsing for scalar crypto
08548107 | 2023-10-04 | Clément Léger | riscv: annotate check_unaligned_access_boot_cpu() with __init
4a80d1f7 | 2023-07-26 | Tsukasa OI | RISC-V: clarify the QEMU workaround in ISA parser
0f7c33f6 | 2023-10-31 | Xiao Wang | riscv: Rearrange hwcap.h and cpufeature.h
7ac985b5 | 2023-11-14 | Clément Léger | riscv: add ISA extension parsing for Zbc
5e9132c4 | 2023-09-15 | Anup Patel | RISC-V: Detect Zicond from ISA string
01baae9d | 2024-11-13 | Mingzheng Xing | th1520: npu: fix build error
3a1db45e | 2024-04-11 | Anup Patel | RISC-V: KVM: Use IMSIC guest files when available
1d3826de | 2024-04-11 | Anup Patel | RISC-V: KVM: Share APLIC and IMSIC defines with irqchip drivers
e760a37c | 2025-02-12 | Mingzheng Xing | riscv: Kconfig: Enable amdkfd driver config
6d55f6f6 | 2025-01-10 | Mingzheng Xing | kconfig: fix kernel-mode FPU support
63df017a | 2024-03-07 | Anup Patel | MAINTAINERS: Add entry for RISC-V AIA drivers
46cf58fa | 2024-03-07 | Anup Patel | RISC-V: Select APLIC and IMSIC drivers
d83ff3a7 | 2024-11-14 | Samuel Holland | irqchip/riscv-aplic: Prevent crash when MSI domain is missing
2891c4be | 2024-08-09 | Yong-Xuan Wang | irqchip/riscv-aplic: Retrigger MSI interrupt on source configuration
85042b45 | 2024-06-03 | Jinjie Ruan | irqchip/riscv-aplic: Simplify the initialization code
4aed31cc | 2024-04-16 | Dawei Li | irqchip/riscv-aplic-direct: Avoid explicit cpumask allocation on stack
0987bc1d | 2024-04-16 | Dawei Li | cpumask: Introduce cpumask_first_and_and()
2795d54f | 2024-03-07 | Anup Patel | irqchip/riscv-aplic: Add support for MSI-mode
d6f34661 | 2024-08-20 | Dan Carpenter | irqchip/riscv-aplic: Fix an IS_ERR() vs NULL bug in probe()
f7820f0e | 2024-03-07 | Anup Patel | irqchip: Add RISC-V advanced PLIC driver for direct-mode
d96d795d | 2024-03-07 | Anup Patel | dt-bindings: interrupt-controller: Add RISC-V advanced PLIC
7854189e | 2024-03-07 | Anup Patel | irqchip/riscv-imsic: Add device MSI domain support for PCI devices
ae545c47 | 2024-09-09 | Andrew Jones | irqchip/riscv-imsic: Fix output text of base address
bab21247 | 2024-04-13 | Anup Patel | irqchip/riscv-imsic: Fix boot time update effective affinity warning
c02ce10a | 2024-03-07 | Anup Patel | irqchip/riscv-imsic: Add device MSI domain support for platform devices
96c34950 | 2024-03-07 | Anup Patel | irqchip: Add RISC-V incoming MSI controller early driver
994e6065 | 2024-03-07 | Anup Patel | dt-bindings: interrupt-controller: Add RISC-V incoming MSI controller
2588293e | 2024-02-22 | Björn Töpel | genirq/matrix: Dynamic bitmap allocation
8adbebd2 | 2024-03-12 | Samuel Holland | irqchip/riscv-intc: Fix use of AIA interrupts 32-63 on riscv32
048839bd | 2024-02-26 | Anup Patel | irqchip/riscv-intc: Fix low-level interrupt handler setup for AIA
5199a3c9 | 2024-02-22 | Anup Patel | irqchip/riscv-intc: Add support for RISC-V AIA
fa30a7b3 | 2023-12-20 | Jisheng Zhang | riscv: enable HAVE_FAST_GUP if MMU
2f0cb4f7 | 2023-12-20 | Jisheng Zhang | riscv: enable MMU_GATHER_RCU_TABLE_FREE for SMP && MMU
3f18f11f | 2023-12-20 | Jisheng Zhang | riscv: tlb: convert __p*d_free_tlb() to inline functions
e42af21d | 2023-12-20 | Jisheng Zhang | riscv: tlb: fix __p*d_free_tlb()
86863f62 | 2023-09-18 | Baolin Wang | mm: add statistics for PUD level pagetable
0c14683f | 2023-09-13 | Mayuresh Chitale | dt-bindings: riscv: Add smstateen entry
0a2d4d90 | 2023-09-13 | Mayuresh Chitale | RISC-V: Detect Smstateen extension
96080cc9 | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide MSI_FLAG_PARENT_PM_DEV
21237729 | 2024-01-27 | Thomas Gleixner | genirq/irqdomain: Reroute device MSI create_mapping
a4929a9d | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide allocation/free functions for "wired" MSI interrupts
db82b557 | 2024-01-27 | Thomas Gleixner | genirq/msi: Optionally use dev->fwnode for device domain
d3049adf | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide DOMAIN_BUS_WIRED_TO_MSI
9e8591a3 | 2024-01-27 | Thomas Gleixner | genirq/msi: Split msi_domain_alloc_irq_at()
871e6089 | 2024-02-20 | Marc Zyngier | genirq/irqdomain: Don't call ops->select for DOMAIN_BUS_ANY tokens
9bdef4ea | 2024-01-27 | Thomas Gleixner | genirq/msi: Provide optional translation op
c21bcf47 | 2024-02-15 | Thomas Gleixner | platform-msi: Remove unused interfaces
33216ec6 | 2024-01-27 | Thomas Gleixner | irqchip: Convert all platform MSI users to the new API
18993f6d | 2024-01-27 | Thomas Gleixner | platform-msi: Prepare for real per device domains
d878a689 | 2024-01-27 | Thomas Gleixner | genirq/irqdomain: Add DOMAIN_BUS_DEVICE_MSI
019c1949 | 2024-01-27 | Thomas Gleixner | genirq/msi: Extend msi_parent_ops
395375be | 2024-01-27 | Thomas Gleixner | genirq/irqdomain: Remove the param count restriction from select()
cb6d4735 | 2024-12-10 | Yafen Fang | fix: Error: unrecognized opcode cbo.clean (a0)
c77adb11 | 2024-03-27 | Han Gao | riscv: sophgo: mango: add xtheadvector for mango-cpus-socket0&1
0583ea78 | 2024-09-16 | Han Gao | ci: kernel auto build on native
0df08165 | 2024-03-28 | Icenowy Zheng | drm/verisilicon: add format_mod_supported to plane
acff19de | 2023-12-28 | Icenowy Zheng | drm/verisilicon: bias fb address for dual-head offset
a2398ebb | 2023-12-27 | Icenowy Zheng | drm/verisilicon: finally fix the cursor position
7d40c83d | 2023-12-05 | Icenowy Zheng | drm/verisilicon: fix cursor position
